ProfileId,CarName,MakeId,RootId,ModelId,VersionId,Url,FrontImagePath,InquiryId,Seller,PhotoCount,Price,PriceNumeric,Km,KmNumeric,MakeYear,MakeMonth,MakeName,RootName,ModelName,VersionName,MaskingName,Color,Fuel,AdditionalFuel,GearBox,SellerNote,VideoCount,OfferStartDate,OfferEndDate,LastUpdatedOn,AreaName,CityName,CityId,StateName,CertifiedLogoUrl,NoOfOwners,OwnerTypeId,IsPremium,IsHotDeal,Emi,EmiFormatted,FinanceUrlText,AbsureWarranty,AbsureScore,FinanceUrl,MakeMapping,RootMapping,ApiFlag,SortScore,MaskingNumber,SellerName,SellerContact,HostUrl,OriginalImgPath,CertificationId,InspectionText,HasWarranty,DealerQuickBloxId,SubSegmentID,VersionSubSegmentID,BodyStyleId,NBCityStripId,DeliveryText,DeliveryCity,NearbyCityText,IsPremiumPackage,IsNearbyCityListing,CertificationScore,Responses,IsEligibleForFinance,ResponsesText,MfgDate,ValuationUrl
D1473263,Toyota Fortuner 3.0 4x2 AT,17,135,245,2787,/used/cars-in-chennai/toyota-fortuner-2012-2016-d1473263/,,1473263,Dealer,9,19.50L,1950000,"54,903",54903,2012,10,Toyota,Fortuner,Fortuner [2012-2016],3.0 4x2 AT,fortuner-2012-2016,White,Diesel,,Automatic,GOOD,0,,,6 day(s) ago,Adyar,Chennai,176,Tamil Nadu,/AutoBiz/Certifications/,First Owner ,1,False,False,57458.0,"₹ 57,458",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1473263/step1?makeid=17&modelid=245&mfgyear=2012&cityid=176&price=1950000&owner=1&mfgmonth=10,17~Toyota,135~Fortuner~17~False,,18.7227001190186,,A and S Pre Owned Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/TIRM7X1_1197651_1_9096154.jpeg,600,,False,-1,10,10,6,,,0,,True,False,4.2,5,True,,2012-10-01T00:00:00,/used/valuation/report/?car=2787&year=2012&city=176&askingPrice=1950000&owner=1
D1478258,Toyota Fortuner 2.5 Sportivo 4x2 AT,17,135,245,3883,/used/cars-in-chennai/toyota-fortuner-2012-2016-d1478258/,,1478258,Dealer,6,17.50L,1750000,"1,06,204",106204,2013,6,Toyota,Fortuner,Fortuner [2012-2016],2.5 Sportivo 4x2 AT,fortuner-2012-2016,White,Diesel,,Automatic,good condition,0,,,13 day(s) ago,Ashok Nagar,Chennai,176,Tamil Nadu,,First Owner ,1,False,False,38963.0,"₹ 38,963",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1478258/step1?makeid=17&modelid=245&mfgyear=2013&cityid=176&price=1750000&owner=1&mfgmonth=6,17~Toyota,135~Fortuner~17~False,,18.719799041748,,Aara Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/LFX5EEF_1202848_1_9125074.jpeg,0,,False,-1,10,10,6,,,0,,True,False,,7,True,,2013-06-01T00:00:00,/used/valuation/report/?car=3883&year=2013&city=176&askingPrice=1750000&owner=1
D1483843,Toyota Fortuner 3.0 4x2 AT,17,135,245,2787,/used/cars-in-chennai/toyota-fortuner-2012-2016-d1483843/,,1483843,Dealer,9,15.50L,1550000,"1,20,274",120274,2012,3,Toyota,Fortuner,Fortuner [2012-2016],3.0 4x2 AT,fortuner-2012-2016,White,Diesel,,Automatic,INTERIORS & SEAT ALTERED,0,,,7 day(s) ago,Ashok Nagar,Chennai,176,Tamil Nadu,/AutoBiz/Certifications/,Second Owner ,2,False,False,45672.0,"₹ 45,672",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1483843/step1?makeid=17&modelid=245&mfgyear=2012&cityid=176&price=1550000&owner=2&mfgmonth=3,17~Toyota,135~Fortuner~17~False,,18.7166996002197,,Aara Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/CHGX4O9_1208793_1_9185615.jpeg,600,,False,-1,10,10,6,,,0,,True,False,3.8,3,True,,2012-03-01T00:00:00,/used/valuation/report/?car=2787&year=2012&city=176&askingPrice=1550000&owner=2
D1477480,Toyota Innova Crysta 2.5 VX BS-IV,17,172,769,2193,/used/cars-in-chennai/toyota-innova-2009-2012-d1477480/,,1477480,Dealer,9,10.50L,1050000,"1,31,184",131184,2011,9,Toyota,Innova,Innova [2009-2012],Crysta 2.5 VX BS-IV,innova-2009-2012,White,Diesel,,Manual,GOOD,0,,,2 day(s) ago,Ashok Nagar,Chennai,176,Tamil Nadu,,First Owner ,1,False,False,24839.0,"₹ 24,839",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1477480/step1?makeid=17&modelid=769&mfgyear=2011&cityid=176&price=1050000&owner=1&mfgmonth=9,17~Toyota,172~Innova~17~False,,18.7182998657227,,Aara Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/U0OOJAG_1201999_1_9116715.jpeg,600,,False,-1,6,7,6,,,0,,True,False,3.8,1,True,,2011-09-01T00:00:00,/used/valuation/report/?car=2193&year=2011&city=176&askingPrice=1050000&owner=1
D1472019,Toyota Innova 2.5 ZX BS IV 7 STR,17,172,863,3869,/used/cars-in-chennai/toyota-innova-2015-2016-d1472019/,,1472019,Dealer,9,16L,1600000,"73,972",73972,2015,4,Toyota,Innova,Innova [2015-2016],2.5 ZX BS IV 7 STR,innova-2015-2016,Gold,Diesel,,Manual,GOOD,0,,,18 day(s) ago,Adyar,Chennai,176,Tamil Nadu,/AutoBiz/Certifications/,First Owner ,1,False,False,32354.0,"₹ 32,354",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1472019/step1?makeid=17&modelid=863&mfgyear=2015&cityid=176&price=1600000&owner=1&mfgmonth=4,17~Toyota,172~Innova~17~False,,18.7194004058838,,A and S Pre Owned Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/NXHBQRZ_1196301_1_9096028.jpeg,600,,False,-1,7,7,6,,,0,,True,False,4.1,4,True,,2015-04-01T00:00:00,/used/valuation/report/?car=3869&year=2015&city=176&askingPrice=1600000&owner=1
D1441072,Toyota Land Cruiser LC 200 VX,17,183,226,2521,/used/cars-in-chennai/toyota-land-cruiser-2011-2015-d1441072/,,1441072,Dealer,5,10L,1000000,"1,59,000",159000,2002,6,Toyota,Land Cruiser,Land Cruiser [2011-2015],LC 200 VX,land-cruiser-2011-2015,Silver,Diesel,,Automatic,Very Good Condition,0,,,28 day(s) ago,Ashok Nagar,Chennai,176,Tamil Nadu,,Third Owner ,3,False,False,0.0,,,,0,,17~Toyota,183~Land Cruiser~17~True,,18.6784992218018,,Aara Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/AL0CE9T_1162374_1_8727098.jpeg,0,,False,-1,14,14,6,,,0,,True,False,,9,False,,2002-06-01T00:00:00,/used/valuation/report/?car=2521&year=2002&city=176&askingPrice=1000000&owner=3
D1476713,Toyota Innova 2.5 G4 8 STR,17,172,770,686,/used/cars-in-chennai/toyota-innova-2005-2009-d1476713/,,1476713,Dealer,8,13L,1300000,"8,000",8000,2012,6,Toyota,Innova,Innova [2005-2009],2.5 G4 8 STR,innova-2005-2009,Gold,Diesel,,Manual,"1 airbag, 2012 model 18000 kms,gold color, 9840/3444/56",0,,,11 minute(s) ago,Nungambakkam,Chennai,176,Tamil Nadu,,First Owner ,1,False,False,26288.0,"₹ 26,288",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1476713/step1?makeid=17&modelid=770&mfgyear=2012&cityid=176&price=1300000&owner=1&mfgmonth=6,17~Toyota,172~Innova~17~False,,18.4511451721191,,ADR Motors,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/CJMYMSZ_1201419_1_9110242.jpeg,0,,False,-1,1,6,6,,,0,,False,False,,12,True,,2012-06-01T00:00:00,/used/valuation/report/?car=686&year=2012&city=176&askingPrice=1300000&owner=1
D1487891,Toyota Innova 2.5 GX 7 STR BS-III,17,172,59,3178,/used/cars-in-chennai/toyota-innova-2013-2014-d1487891/,,1487891,Dealer,9,13.45L,1345000,"40,000",40000,2014,6,Toyota,Innova,Innova [2013-2014],2.5 GX 7 STR BS-III,innova-2013-2014,Gold,Diesel,,Manual,"single owner,40000km only,7 seater, 2.5gx,well maintained, good condition, 9840/3444/56",0,,,18 minute(s) ago,Nungambakkam,Chennai,176,Tamil Nadu,,First Owner ,1,False,False,27198.0,"₹ 27,198",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1487891/step1?makeid=17&modelid=59&mfgyear=2014&cityid=176&price=1345000&owner=1&mfgmonth=6,17~Toyota,172~Innova~17~False,,18.4188995361328,,ADR Motors,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/UCQ8X6N_1213206_1_9230024.jpeg,0,,False,-1,7,7,6,,,0,,False,False,,2,True,,2014-06-01T00:00:00,/used/valuation/report/?car=3178&year=2014&city=176&askingPrice=1345000&owner=1
D1487926,Toyota Etios GD,17,122,765,2247,/used/cars-in-chennai/toyota-etios-2010-2013-d1487926/,,1487926,Dealer,9,5.90L,590000,"71,500",71500,2013,6,Toyota,Etios,Etios [2010-2013],GD,etios-2010-2013,Grey,Diesel,,Manual,"single owner, 2 airbag,abs,4 alloye wheels well maintained, good condition 9840/344456",0,,,9 minute(s) ago,Nungambakkam,Chennai,176,Tamil Nadu,,First Owner ,1,False,False,11931.0,"₹ 11,931",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1487926/step1?makeid=17&modelid=765&mfgyear=2013&cityid=176&price=590000&owner=1&mfgmonth=6,17~Toyota,122~Etios~17~False,,18.4104957580566,,ADR Motors,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/IJKJ87T_1213253_1_9230421.jpeg,0,,False,-1,4,5,1,,,0,,False,False,,4,True,,2013-06-01T00:00:00,/used/valuation/report/?car=2247&year=2013&city=176&askingPrice=590000&owner=1
D1489027,Toyota Innova 2.5 GX 8 STR BS-III,17,172,768,2400,/used/cars-in-chennai/toyota-innova-2012-2013-d1489027/,,1489027,Dealer,7,12.50L,1250000,"90,859",90859,2013,6,Toyota,Innova,Innova [2012-2013],2.5 GX 8 STR BS-III,innova-2012-2013,Blue,Diesel,,Manual,GOOD,0,,,15 hour(s) ago,Nandanam,Chennai,176,Tamil Nadu,,First Owner ,1,False,False,25277.0,"₹ 25,277",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1489027/step1?makeid=17&modelid=768&mfgyear=2013&cityid=176&price=1250000&owner=1&mfgmonth=6,17~Toyota,172~Innova~17~False,,18.3725147247314,,Royal Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/0NC9MTG_1214429_1_9242319.jpeg,0,,False,-1,7,7,6,,,0,,False,False,,0,True,,2013-06-01T00:00:00,/used/valuation/report/?car=2400&year=2013&city=176&askingPrice=1250000&owner=1
D1451575,Toyota Innova 2.5 ZX 7 STR BS-IV,17,172,59,3114,/used/cars-in-chennai/toyota-innova-2013-2014-d1451575/,,1451575,Dealer,4,15L,1500000,"52,000",52000,2014,6,Toyota,Innova,Innova [2013-2014],2.5 ZX 7 STR BS-IV,innova-2013-2014,Silver,Diesel,,Manual,Good,0,,,1 month(s) ago,Nandanam,Chennai,176,Tamil Nadu,,Second Owner ,2,False,False,30332.0,"₹ 30,332",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1451575/step1?makeid=17&modelid=59&mfgyear=2014&cityid=176&price=1500000&owner=2&mfgmonth=6,17~Toyota,172~Innova~17~False,,17.7290000915527,,Super Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/EMBLHTU_1173897_1_8835876.jpeg,0,,False,-1,7,6,6,,,0,,False,False,,12,True,,2014-06-01T00:00:00,/used/valuation/report/?car=3114&year=2014&city=176&askingPrice=1500000&owner=2
D1479702,Toyota Etios VX,17,122,837,3803,/used/cars-in-chennai/toyota-etios-2014-2016-d1479702/,,1479702,Dealer,8,5.75L,575000,"16,000",16000,2015,6,Toyota,Etios,Etios [2014-2016],VX,etios-2014-2016,Grey,Petrol,,Manual,excellent ,0,,,10 day(s) ago,Thyagaraya Nagar H O,Chennai,176,Tamil Nadu,,First Owner ,1,False,False,11627.0,"₹ 11,627",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1479702/step1?makeid=17&modelid=837&mfgyear=2015&cityid=176&price=575000&owner=1&mfgmonth=6,17~Toyota,122~Etios~17~False,,16.7754993438721,,GT Reddy Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/SVZPKL7_1201076_1_9106250.jpg,0,,False,-1,4,4,1,,,0,,False,False,,5,True,,2015-06-01T00:00:00,/used/valuation/report/?car=3803&year=2015&city=176&askingPrice=575000&owner=1
D1476667,Toyota Etios Liva V,17,188,766,2166,/used/cars-in-chennai/toyota-etios-liva-2011-2013-d1476667/,,1476667,Dealer,9,3.30L,330000,"60,129",60129,2011,11,Toyota,Etios Liva,Etios Liva [2011-2013],V,etios-liva-2011-2013,Black,Petrol,,Manual,,0,,,3 day(s) ago,Koyambedu,Chennai,176,Tamil Nadu,,First Owner ,1,False,False,7807.0,"₹ 7,807",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1476667/step1?makeid=17&modelid=766&mfgyear=2011&cityid=176&price=330000&owner=1&mfgmonth=11,17~Toyota,188~Etios Liva~17~False,,16.7707004547119,,Venture Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/5WI5MDH_1201372_1_9109843.jpeg,600,,False,-1,4,4,3,,,0,,False,False,3.8,4,True,,2011-11-01T00:00:00,/used/valuation/report/?car=2166&year=2011&city=176&askingPrice=330000&owner=1
D1482603,Toyota Innova 2.5 VX 8 STR BS-III,17,172,768,2402,/used/cars-in-chennai/toyota-innova-2012-2013-d1482603/,,1482603,Dealer,9,14.25L,1425000,"53,083",53083,2013,6,Toyota,Innova,Innova [2012-2013],2.5 VX 8 STR BS-III,innova-2012-2013,Silver,Diesel,,Manual,Good,0,,,10 day(s) ago,Tiruvanmiyur,Chennai,176,Tamil Nadu,,First Owner ,1,False,False,28816.0,"₹ 28,816",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1482603/step1?makeid=17&modelid=768&mfgyear=2013&cityid=176&price=1425000&owner=1&mfgmonth=6,17~Toyota,172~Innova~17~False,,16.760799407959,,Lanson Q Cars Pvt Ltd,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/QC94VRI_1207476_1_9172378.jpeg,0,,False,-1,7,7,6,176,,0,,False,False,,1,True,,2013-06-01T00:00:00,/used/valuation/report/?car=2402&year=2013&city=176&askingPrice=1425000&owner=1
D1481812,Toyota Corolla H5 1.8E,17,88,56,178,/used/cars-in-chennai/toyota-corolla-d1481812/,,1481812,Dealer,9,4L,400000,"70,000",70000,2006,6,Toyota,Corolla,Corolla,H5 1.8E,corolla,White,Petrol,,Manual,Excellent Condition,0,,,11 day(s) ago,Adyar,Chennai,176,Tamil Nadu,,First Owner ,1,True,False,0.0,,,,0,,17~Toyota,88~Corolla~17~True,,18.7350006103516,,A and S Pre Owned Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/M395PPH_1206552_1_9162831.jpeg,0,,False,-1,1,1,1,,,0,,True,False,,1,False,,2006-06-01T00:00:00,/used/valuation/report/?car=178&year=2006&city=176&askingPrice=400000&owner=1
D1484318,Toyota Corolla Altis VL AT Petrol,17,353,577,3351,/used/cars-in-chennai/toyota-corolla-altis-2014-2017-d1484318/,,1484318,Dealer,9,14.50L,1450000,"44,416",44416,2015,10,Toyota,Corolla Altis,Corolla Altis [2014-2017],VL AT Petrol,corolla-altis-2014-2017,Grey,Petrol,,Automatic,GOOD,0,,,3 day(s) ago,Adyar,Chennai,176,Tamil Nadu,/AutoBiz/Certifications/,First Owner ,1,True,False,29321.0,"₹ 29,321",Get Instant Loan Approval,,0,https://www.cartrade.com/used-car-finance-cw/D1484318/step1?makeid=17&modelid=577&mfgyear=2015&cityid=176&price=1450000&owner=1&mfgmonth=10,17~Toyota,353~Corolla Altis~17~False,,18.7325992584228,,A and S Pre Owned Cars,,https://imgd.aeplcdn.com/,/cw/ucp/stockApiImg/6XRDHGM_1209314_1_9209147.jpeg,600,,False,-1,8,9,1,,,0,,True,False,4.2,0,True,,2015-10-01T00:00:00,/used/valuation/report/?car=3351&year=2015&city=176&askingPrice=1450000&owner=1
